"Gemeinde","Längengrad_Gemeinde","Breitengrad_Gemeinde","state","Hauptstadt","Längengrad","Breitengrad"
"PLAIDT",7.3912,50.391084,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KRUFT",7.336575,50.385163,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"NICKENICH",7.326923,50.411905,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SAFFIG",7.415851,50.379942,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"NIEDERDUERENBACH",7.18318,50.456954,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"NIEDERZISSEN",7.221523,50.456998,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WASSENACH",7.279915,50.435005,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WEHR",7.210953,50.42222,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BURGBROHL",7.274953,50.456724,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SANKT JOHANN1",7.196286,50.347576,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BAAR",7.048848,50.353598,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KEHRIG",7.222549,50.279555,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KIRCHWALD",7.154197,50.373342,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KOTTENHEIM",7.25673,50.348939,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"THUER",7.276448,50.35696,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WEIBERN",7.143941,50.406116,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SPESSART",7.113305,50.439679,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KEMPENICH",7.119851,50.418515,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"POLCH",7.313982,50.299878,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MERTLOCH",7.307472,50.27181,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WELLING",7.313444,50.328921,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BINNINGEN",7.244584,50.204897,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KAISERSESCH",7.141118,50.229832,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KAIFENHEIM",7.226688,50.245693,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MONREAL",7.157962,50.29901,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ULMEN",6.971598,50.213277,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BREMM",7.115357,50.10033,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BRUTTIG FANKEL",7.229003,50.129803,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"EDIGER ELLER",7.156797,50.096867,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"FAID",7.120819,50.146147,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ILLERICH",7.179921,50.200602,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"LANDKERN",7.152986,50.193207,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KLOTTEN",7.199421,50.166374,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ELLENZ POLTERSDORF",7.231279,50.113842,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BUECHEL",7.082821,50.172678,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"GEVENICH",7.085695,50.153309,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"LUTZERATH",7.005406,50.127599,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ALFLEN",7.040537,50.177082,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ENKIRCH",7.126942,49.983334,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BULLAY",7.13148,50.057025,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"REIL",7.116138,50.022157,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"PUENDERICH",7.128632,50.041044,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BAD BERTRICH",7.034605,50.070698,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BLANKENRATH",7.302544,50.038494,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BRIEDEL",7.145792,50.022096,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MASTERSHAUSEN",7.354759,50.064296,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"FREUDENBERG",7.882831,50.901639,"North Rhine-Westphalia","Duesseldorf",6.7763137,51.2254018
"ERNDTEBRUECK",8.256223,50.988732,"North Rhine-Westphalia","Duesseldorf",6.7763137,51.2254018
"DERSCHEN",7.984461,50.712195,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"FRIEDEWALD1",7.960618,50.709712,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KAUSEN",7.865199,50.740757,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"LANGENBACH BEI KIRBURG",7.938937,50.704066,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"NEUNKHAUSEN",7.903587,50.706041,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MITTELHOF",7.804162,50.775051,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BREITSCHEIDT",7.661594,50.75426,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ETZBACH",7.686319,50.778743,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"FUERTHEN",7.668743,50.77935,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MUDERSBACH",7.943913,50.824709,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"DAADEN",7.967583,50.739178,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"NIEDERFISCHBACH",7.872832,50.855614,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ELKENROTH",7.882733,50.727154,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"GEBHARDSHAIN",7.821894,50.746687,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"NAUROTH",7.876722,50.700359,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SCHEUERFELD",7.841131,50.787358,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WALLMENROTH",7.837401,50.796708,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BIRKEN HONIGSESSEN",7.739895,50.818171,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"PRACHT",7.654641,50.760501,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"STEIMEL",7.627892,50.617697,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"NORKEN",7.897919,50.671829,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"LIMBACH2",7.799778,50.701462,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"LINDEN2",7.850464,50.60202,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MUESCHENBACH",7.78504,50.679895,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"FLAMMERSFELD",7.524291,50.646556,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MEHREN1",7.509996,50.685809,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WEYERBUSCH",7.550699,50.712833,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MAMMELZEN",7.66804,50.701896,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SCHOENEBERG2",7.602522,50.664859,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"OBERDREIS",7.663439,50.627043,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ALPENROD",7.869988,50.631178,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HATTERT",7.770903,50.667929,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"NISTER",7.834847,50.675237,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"NISTERTAL",7.893405,50.627045,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"UNNAU",7.908032,50.648387,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SCHALKSMUEHLE",7.529389,51.241352,"North Rhine-Westphalia","Duesseldorf",6.7763137,51.2254018
"WICKEDE (RUHR)",7.870363,51.49641,"North Rhine-Westphalia","Duesseldorf",6.7763137,51.2254018
"NACHRODT WIBLINGWERDE",7.641751,51.335816,"North Rhine-Westphalia","Duesseldorf",6.7763137,51.2254018
"HERSCHEID",7.745898,51.177282,"North Rhine-Westphalia","Duesseldorf",6.7763137,51.2254018
"NORDKIRCHEN",7.525307,51.738183,"North Rhine-Westphalia","Duesseldorf",6.7763137,51.2254018
"BAD SASSENDORF",8.164329,51.585642,"North Rhine-Westphalia","Duesseldorf",6.7763137,51.2254018
"ANROECHTE",8.327462,51.561271,"North Rhine-Westphalia","Duesseldorf",6.7763137,51.2254018
"ESLOHE (SAUERLAND)",8.174776,51.257259,"North Rhine-Westphalia","Duesseldorf",6.7763137,51.2254018
"BESTWIG",8.398158,51.36108,"North Rhine-Westphalia","Duesseldorf",6.7763137,51.2254018
"BROMSKIRCHEN",8.624003,51.094887,"Hesse","Wiesbaden",8.2416556,50.0820384
"NIEDERDORFELDEN",8.801703,50.195241,"Hesse","Wiesbaden",8.2416556,50.0820384
"FLORSTADT",8.861417,50.318669,"Hesse","Wiesbaden",8.2416556,50.0820384
"WOELFERSHEIM",8.812984,50.398525,"Hesse","Wiesbaden",8.2416556,50.0820384
"WOELLSTADT",8.771583,50.282684,"Hesse","Wiesbaden",8.2416556,50.0820384
"ECHZELL",8.885661,50.39046,"Hesse","Wiesbaden",8.2416556,50.0820384
"OBER MOERLEN",8.694519,50.373047,"Hesse","Wiesbaden",8.2416556,50.0820384
"WEHRHEIM",8.568053,50.302901,"Hesse","Wiesbaden",8.2416556,50.0820384
"WEILROD",8.380402,50.342201,"Hesse","Wiesbaden",8.2416556,50.0820384
"GRAEVENWIESBACH",8.457558,50.388342,"Hesse","Wiesbaden",8.2416556,50.0820384
"SCHMITTEN",8.444191,50.270038,"Hesse","Wiesbaden",8.2416556,50.0820384
"GLASHUETTEN",8.402503,50.215925,"Hesse","Wiesbaden",8.2416556,50.0820384
"EGELSBACH",8.667544,49.96964,"Hesse","Wiesbaden",8.2416556,50.0820384
"RODENBACH",9.021246,50.14547,"Hesse","Wiesbaden",8.2416556,50.0820384
"MAINHAUSEN",8.994663,50.013737,"Hesse","Wiesbaden",8.2416556,50.0820384
"GROSSKROTZENBURG",8.980931,50.082686,"Hesse","Wiesbaden",8.2416556,50.0820384
"NEUBERG",8.996444,50.18774,"Hesse","Wiesbaden",8.2416556,50.0820384
"HAMMERSBACH",8.985694,50.222678,"Hesse","Wiesbaden",8.2416556,50.0820384
"RONNEBURG1",9.04344,50.216857,"Hesse","Wiesbaden",8.2416556,50.0820384
"LINSENGERICHT",9.19923,50.188757,"Hesse","Wiesbaden",8.2416556,50.0820384
"HASSELROTH",9.091048,50.1612,"Hesse","Wiesbaden",8.2416556,50.0820384
"BIEBERGEMUEND",9.276363,50.20755,"Hesse","Wiesbaden",8.2416556,50.0820384
"BIRSTEIN",9.310105,50.35353,"Hesse","Wiesbaden",8.2416556,50.0820384
"BRACHTTAL",9.298776,50.302588,"Hesse","Wiesbaden",8.2416556,50.0820384
"JOSSGRUND",9.472834,50.191178,"Hesse","Wiesbaden",8.2416556,50.0820384
"FLOERSBACHTAL",9.480329,50.127726,"Hesse","Wiesbaden",8.2416556,50.0820384
"ORTENBERG",9.053852,50.356224,"Hesse","Wiesbaden",8.2416556,50.0820384
"RANSTADT",8.98571,50.358046,"Hesse","Wiesbaden",8.2416556,50.0820384
"LIMESHAIN",8.972786,50.260907,"Hesse","Wiesbaden",8.2416556,50.0820384
"GLAUBURG",9.017487,50.324623,"Hesse","Wiesbaden",8.2416556,50.0820384
"HIRZENHAIN",9.135835,50.390853,"Hesse","Wiesbaden",8.2416556,50.0820384
"KEFENROD",9.210801,50.345008,"Hesse","Wiesbaden",8.2416556,50.0820384
"KARLSTEIN A.MAIN",9.008497,50.048052,"Bavaria","Muenchen",11.5753822,48.1371079
"KAHL A.MAIN",9.005138,50.070353,"Bavaria","Muenchen",11.5753822,48.1371079
"KLEINOSTHEIM",9.062952,49.99941,"Bavaria","Muenchen",11.5753822,48.1371079
"HAIBACH",9.202982,49.964977,"Bavaria","Muenchen",11.5753822,48.1371079
"MAINASCHAFF",9.087302,49.981077,"Bavaria","Muenchen",11.5753822,48.1371079
"BLANKENBACH",9.232669,50.063453,"Bavaria","Muenchen",11.5753822,48.1371079
"SOMMERKAHL",9.258161,50.070187,"Bavaria","Muenchen",11.5753822,48.1371079
"WESTERNGRUND",9.240606,50.125878,"Bavaria","Muenchen",11.5753822,48.1371079
"GEISELBACH",9.198109,50.122675,"Bavaria","Muenchen",11.5753822,48.1371079
"KLEINKAHL",9.275529,50.106403,"Bavaria","Muenchen",11.5753822,48.1371079
"WIESEN",9.363698,50.112221,"Bavaria","Muenchen",11.5753822,48.1371079
"NIEDERNBERG",9.137005,49.911359,"Bavaria","Muenchen",11.5753822,48.1371079
"LAUFACH",9.297033,50.013879,"Bavaria","Muenchen",11.5753822,48.1371079
"LEIDERSBACH",9.218337,49.902153,"Bavaria","Muenchen",11.5753822,48.1371079
"MOEMLINGEN",9.083711,49.858373,"Bavaria","Muenchen",11.5753822,48.1371079
"BESSENBACH",9.246066,49.961041,"Bavaria","Muenchen",11.5753822,48.1371079
"WALDASCHAFF",9.299923,49.9742,"Bavaria","Muenchen",11.5753822,48.1371079
"ROTHENBUCH",9.397565,49.967421,"Bavaria","Muenchen",11.5753822,48.1371079
"GLATTBACH",9.149913,50.007221,"Bavaria","Muenchen",11.5753822,48.1371079
"JOHANNESBERG",9.143557,50.030749,"Bavaria","Muenchen",11.5753822,48.1371079
"GROSSWALLSTADT",9.158679,49.878601,"Bavaria","Muenchen",11.5753822,48.1371079
"HEIGENBRUECKEN",9.372024,50.026068,"Bavaria","Muenchen",11.5753822,48.1371079
"HEINRICHSTHAL",9.344068,50.071523,"Bavaria","Muenchen",11.5753822,48.1371079
"HEIMBUCHENTHAL",9.303118,49.895194,"Bavaria","Muenchen",11.5753822,48.1371079
"DAMMBACH",9.336741,49.861134,"Bavaria","Muenchen",11.5753822,48.1371079
"MESPELBRUNN",9.289835,49.916005,"Bavaria","Muenchen",11.5753822,48.1371079
"SAILAUF",9.255757,50.024451,"Bavaria","Muenchen",11.5753822,48.1371079
"WEIBERSBRUNN",9.365114,49.93084,"Bavaria","Muenchen",11.5753822,48.1371079
"LAUDENBACH",9.173847,49.744751,"Bavaria","Muenchen",11.5753822,48.1371079
"EICHENBUEHL",9.327814,49.705561,"Bavaria","Muenchen",11.5753822,48.1371079
"ROELLBACH",9.247397,49.773849,"Bavaria","Muenchen",11.5753822,48.1371079
"REICHELSHEIM (ODENWALD)",8.839871,49.712441,"Hesse","Wiesbaden",8.2416556,50.0820384
"BRENSBACH",8.878516,49.772941,"Hesse","Wiesbaden",8.2416556,50.0820384
"FRAENKISCH CRUMBACH",8.858014,49.745722,"Hesse","Wiesbaden",8.2416556,50.0820384
"NAUHEIM",8.452237,49.945337,"Hesse","Wiesbaden",8.2416556,50.0820384
"STOCKSTADT AM RHEIN",8.46596,49.80777,"Hesse","Wiesbaden",8.2416556,50.0820384
"FUERTH",8.783565,49.650896,"Hesse","Wiesbaden",8.2416556,50.0820384
"RIMBACH",8.756412,49.623998,"Hesse","Wiesbaden",8.2416556,50.0820384
"EINHAUSEN",8.545053,49.672282,"Hesse","Wiesbaden",8.2416556,50.0820384
"LUETZELBACH",9.079658,49.786263,"Hesse","Wiesbaden",8.2416556,50.0820384
"BROMBACHTAL",8.950526,49.73555,"Hesse","Wiesbaden",8.2416556,50.0820384
"MOSSAUTAL",8.931026,49.644703,"Hesse","Wiesbaden",8.2416556,50.0820384
"SENSBACHTAL",9.012378,49.532759,"Hesse","Wiesbaden",8.2416556,50.0820384
"HEIDENROD",7.995855,50.212879,"Hesse","Wiesbaden",8.2416556,50.0820384
"AARBERGEN",8.076766,50.24602,"Hesse","Wiesbaden",8.2416556,50.0820384
"HOHENSTEIN",8.09854,50.194814,"Hesse","Wiesbaden",8.2416556,50.0820384
"SCHLANGENBAD",8.099843,50.093937,"Hesse","Wiesbaden",8.2416556,50.0820384
"WALLUF",8.160766,50.035456,"Hesse","Wiesbaden",8.2416556,50.0820384
"KIEDRICH",8.085089,50.040883,"Hesse","Wiesbaden",8.2416556,50.0820384
"WALDEMS",8.317029,50.250514,"Hesse","Wiesbaden",8.2416556,50.0820384
"GUECKINGEN",8.010079,50.391756,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HEISTENBACH",7.98542,50.379129,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HIRSCHBERG1",7.922446,50.378067,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HOLZHEIM",8.048265,50.353803,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BURGSCHWALBACH",8.078489,50.283316,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"FLACHT",8.049755,50.343302,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"OBERNEISEN",8.072855,50.326391,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HUENFELDEN",8.161342,50.30926,"Hesse","Wiesbaden",8.2416556,50.0820384
"DORNBURG",8.024181,50.503919,"Hesse","Wiesbaden",8.2416556,50.0820384
"HARTHAUSEN",8.345933,49.294399,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"GOMMERSHEIM",8.264281,49.290626,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ZEISKAM",8.24837,49.23346,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BOEHL IGGELHEIM",8.308577,49.365618,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"FRANKENECK",8.052302,49.376384,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"NEIDENFELS",8.046029,49.388533,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"FRANKENSTEIN",7.975037,49.440609,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ESTHAL",7.985522,49.377306,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ALTDORF",8.215757,49.286213,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BOEBINGEN",8.237219,49.284163,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"VENNINGEN",8.173749,49.281787,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MAIKAMMER",8.131032,49.305833,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WORMS",8.361704,49.629828,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"EICH",8.399672,49.749961,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ALSHEIM",8.341322,49.767929,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"GIMBSHEIM",8.375592,49.779088,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HAMM AM RHEIN",8.433477,49.733391,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"METTENHEIM",8.326279,49.740082,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"GUNTERSBLUM",8.345919,49.797475,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"DORN DUERKHEIM",8.269173,49.768504,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MONSHEIM",8.210623,49.635629,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MOERSTADT",8.254616,49.661712,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"OFFSTEIN",8.237635,49.605463,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WACHENHEIM",8.166655,49.636666,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"FLOERSHEIM DALSHEIM",8.211124,49.651778,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WESTHOFEN",8.247863,49.703422,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BECHTHEIM",8.293205,49.727031,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"DITTELSHEIM HESSLOCH",8.245647,49.741199,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"GUNDERSHEIM",8.203102,49.696322,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"GUNDHEIM",8.237388,49.675599,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KAISERSLAUTERN",7.768864,49.445456,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ENKENBACH ALSENBORN",7.90659,49.490516,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MEHLINGEN",7.855085,49.493578,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"NEUHEMSBACH",7.923664,49.522457,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SEMBACH",7.857688,49.51302,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ERZENHAUSEN",7.617397,49.499657,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SCHWEDELBACH",7.593578,49.495823,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WEILERBACH",7.631074,49.481334,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MACKENBACH",7.586909,49.475043,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HOCHSPEYER",7.89553,49.44412,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"FISCHBACH1",7.910226,49.455485,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SCHALLODENBACH",7.714968,49.544365,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"STELZENBERG",7.739726,49.380053,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"TRIPPSTADT",7.771394,49.356549,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SCHOPP",7.687583,49.351081,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HELTERSBERG",7.713758,49.312475,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WALDFISCHBACH BURGALBEN",7.65343,49.283319,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"GEISELBERG",7.695681,49.327329,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SCHMALENBERG",7.730362,49.333977,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WINNWEILER",7.854076,49.567595,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HOERINGEN",7.797746,49.555054,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BOERRSTADT",7.944003,49.576821,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"LOHNSFELD",7.853688,49.551112,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SIPPERSFELD",7.938266,49.554727,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KATZWEILER",7.69771,49.504075,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MEHLBACH",7.717068,49.521821,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"OLSBRUECKEN",7.657665,49.539192,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ODENBACH",7.650783,49.685129,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"OFFENBACH HUNDHEIM",7.548454,49.624849,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KREIMBACH KAULBACH",7.632979,49.553828,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SCHOENBORN3",7.772576,49.642132,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"STEINBACH AM DONNERSBERG",7.956675,49.597783,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"DREISEN",8.011186,49.603055,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"IMSBACH",7.879713,49.582433,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ALSENZ",7.8152,49.724272,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"OBERNDORF1",7.809978,49.710168,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HALLGARTEN",7.787736,49.760557,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HEDDESHEIM",8.603136,49.504679,"Baden-Wuerttemberg","Stuttgart",9.1800132,48.7784485
"ILVESHEIM",8.567892,49.472324,"Baden-Wuerttemberg","Stuttgart",9.1800132,48.7784485
"OFTERSHEIM",8.585149,49.368098,"Baden-Wuerttemberg","Stuttgart",9.1800132,48.7784485
"PLANKSTADT",8.593962,49.392183,"Baden-Wuerttemberg","Stuttgart",9.1800132,48.7784485
